x,y,z
60078.99,1089,7528
65601.28,1120,37650
64052.84,1279,38200
44968.88,1022,21000
47617.36,1028,8150
51636.62,931,7754
59287.73,1143,10936
53919.37,977,17810
59042.66,1159,10744
42103.85,1047,8098
48948.11,1069,7608
63568.77,1068,9120
35782.96,965,18840
55916.29,970,24000
64733.74,1016,29153
50387.75,1047,9482
58549.24,1114,33900
51069.58,888,16252
44602.47,871,7063
39416.07,950,6158
57504.74,1163,9714
47946.96,1029,6903
46322.14,969,15070
46738.12,1105,8854
67759.61,1134,37830
47295.56,1029,7290
51940.24,1034,8004
49304.74,1030,7348
43063.22,1054,7658
43125.41,1008,7006
54007.12,1010,11444
53084.32,1030,7280
47090.8,1069,8256
69803.28,1346,49638
55657.89,1050,22349
80130.48,1363,49120
54908.38,1090,10610
64934.4,1070,34760
63952.22,989,32620
58065.5,984,7796
65721.01,972,8326
77046.6,883,7660
73053.75,1023,23508
69837.96,821,22790
54222.17,888,7346
70221.41,955,8488
81539.46,1453,48710
83010.29,1209,11006
90010.73,1315,9996
80395.11,1140,43870
66039.83,834,7625
63566.62,878,7508
81781.05,1013,37500
70799.46,1087,33670
85886.58,1145,13895
80470.71,1081,9182
74334.54,1006,30998
83552.93,1074,39500
62232.99,887,31870
82187.65,1451,50562
82978.89,1317,46784
82419.5,1244,44085
83893.95,1380,49324
83140.68,1303,48436
85221.28,1360,49598
75059.92,996,8903
77762.42,941,36765
69305.79,978,29880
80699.66,1211,41052
71253.32,993,9935
80769.61,975,8700
80002.32,1112,35386
76879.55,1497,45278
77012.29,966,32000
73324.38,1066,25095
76546.63,1197,13427
78424.73,1226,14171
68463.25,1055,12682
72630.13,1070,30530
75629.56,1086,11725
77426.3,1507,46704
73378.33,906,32300
80190.89,1435,45530
59687.78,976,32280
58088.78,775,27050
77652.59,1163,37380
64281.13,1042,34455
72067.31,1025,12588
76214.79,1024,33934
82793.69,1424,50604
81018.79,1369,46836
76699.8,1104,32500
76363.81,1080,34030
72419.11,1001,8815
76696.63,944,33835
77966.2,1442,50070
68531.82,1020,8857
66915.1,1008,33610
71425.7,1104,39313
61676.21,1110,35428
63096.48,1091,27000
64829.33,1090,28820
70660.49,1202,30660
66048.2,1049,11850
74293.04,1070,38950
64142.33,1122,38626
"69,989,102,910,417",0,
61040.62,1009,10970
70813.57,1204,38430
67198.25,1090,11363
72371.25,1205,30550
53637.55,1027,10580
73119.88,1156,30300
72787.1,1030,18740
72043.03,949,21028
77145.9,1384,13856
72140.18,1159,13560
61737.2,1207,14286
67620.59,1105,11304
64807.7,992,9936
57050.02,1011,9620
64809.96,1026,24170
78696.54,1070,11344
62696.44,931,24816
68721.86,1010,19544
57827.75,1030,8968
63208.96,1027,23750
61521.97,1073,25510
61912.62,1070,11814
69141.32,1030,11029
72224.74,1032,35465
55158.96,1010,8366
62776.68,1074,25170
77038.37,1127,34140
71070.84,1400,49263
70958.04,1127,37886
71692.75,1358,48887
66314.89,1030,7836
70741.62,1288,13790
55080.02,1026,11646
70094.27,1096,35326
68076.22,1109,13082
63548.87,1146,12846
54641.42,1049,8096
65000.36,1024,21586
70065.41,1102,28730
53222.25,930,16165
70918.96,1118,40846
66422.48,1030,7814
71469.52,1148,40226
70833.22,1046,31335
75732.77,1282,42940
68899.21,1019,23740
60287.14,1067,33994
76939.14,1202,38105
71786.79,1032,35500
56697.45,1008,8326
68678.3,1050,9047
39124.62,970,6112
56763.17,1163,35510
53374.26,1118,7444
43147.25,1012,5781
52824.92,1106,16064
46465.5,1140,7502
46990.98,1049,7334
45401.66,1071,11700
67638.05,986,26450
57236.66,985,11900
49478.5,1043,22360
57730.2,1010,7322
61289.57,1049,19300
52894.01,968,24900
45736.92,1185,24905
58696.81,1064,21436
60924.15,1050,23790
67668.37,1073,35270
68730.21,1043,16022
70678.19,1145,26958
62761.71,961,23886
"4,621,710,305,523",0,
66484.66,1203,9509
63187.36,1130,7837
59935.86,1261,9048
64068.51,1105,9394
64318.95,1246,7456
55791.06,1047,6767
68699.32,1162,34790
72169.74,1257,39226
49841.76,1058,21908
61398.11,1036,29176
51305.92,1050,6990
56273.4,1090,7060
79298.58,1469,48093
66464.45,1109,25500
62575.25,1084,23480
66156.47,1160,32330
58051.44,1035,22160
55326.09,1110,30754
53207.14,1131,6849
50573.68,1090,6158
51454.11,1037,25742
60450.28,1076,27110
68443.5,1196,36422
57123.16,1064,28790
58174.49,1055,27300
51335.53,1049,6711
66043.01,1050,6898
59199.51,1121,29800
60976.73,1145,8367
60804.76,1050,21970
57118.86,950,17200
70070.97,1007,6943
68050.29,1084,6902
71252.07,1012,29994
79834.73,1437,49506
72941.72,943,33320
77484.55,1109,16986
75913.18,991,13228
77484.55,1010,14143
62332.64,855,27800
80563.66,969,31200
87083.61,929,31754
80740.5,995,36910
74826.3,878,31235
80740.5,1034,39092
78770.86,945,31618
76692.58,1065,12864
58259.31,865,11180
76062.13,928,11581
87615.47,1037,33729
75892.84,1205,16108
81428.25,1490,43450
88597.61,1090,13698
85423.56,1014,38360
82669.68,1020,14000
82669.68,1225,14131
82669.68,1030,13597
63508.52,918,34198
79591.86,1145,38072
82332.62,806,31688
83951.71,1340,47190
73199.66,1074,12820
86752.57,1227,15466
80256.1,990,12365
42974.58,947,4858
52104.89,1191,6613
49538.77,1040,7071
43867.23,983,6094
80864.95,1094,34034
60872.01,1176,31081
63665.1,1057,26261
75897.42,1357,47631
61812.51,1078,34690
62331.73,1198,44630
81701.81,1374,49970
76971.15,1473,53000
80346.48,1428,49116
53216.18,1230,6810
49392.3,1115,6838
48071.31,1125,6689
55390.45,1165,6782
51361.88,975,6810
41652.24,1025,6760
63917.39,1110,6938
55168.11,885,6748
77440.46,879,26450
77653.15,1273,47317
59922.67,1110,29458
78814.8,1005,35324
78436.88,962,24825
60497.51,1073,32250
69416.15,1010,35546
83053.51,1097,38580
77729.18,1038,28700
56197.77,868,26252
87964.15,1067,28030
74923.28,982,28233
63240.6,906,22490
41804.07,948,33600
82106.43,1360,47750
60954.17,1037,29900
72244.37,1074,33480
61585.03,901,24300
74848.68,1060,41333
75295.69,1085,46586
74851.88,1368,49341
60753.22,1067,28630
69175.72,1251,37124
64352.24,1066,31389
53129.58,909,23800
86845.1,942,28740
78806.42,1239,49120
81308.04,1010,24113
63735.93,1087,30690
69749.7,1080,38680
55015.93,1016,8057
60485.06,882,7719
86057.23,994,7808
70013.16,1091,8996
71392.67,1305,9053
63949.26,1173,9381
76205.23,1271,8855
63414.84,1215,7848
53376.47,1141,7759
61824.2,1032,7904
"554,849,017,669",0,
60720.74,1050,8074
69095.17,1206,8113
72171.58,1124,7737
67183.32,1087,7870
60525.69,1103,7934
76919.71,1082,8267
73417.13,995,7643
61507.99,1086,7850
80060.6,1113,7809
75289.41,1195,43318
76831.57,1220,1107
80899.18,1405,51250
78955.6,1065,35000
61992.22,1011,37500
78671.25,1229,39530
61267.04,1157,6852
54814.93,959,27941
63374.1,1021,18500
56906.03,1007,28820
60564.51,990,28730
53634.23,773,23400
76036.21,1355,46966
78468.48,1450,49241
57608.05,1053,6580
47337.89,844,4657
81102.4,1211,32172
49808.38,870,4885
54757.84,977,28280
63893.94,892,26900
63207.13,1113,32430
58700.84,990,32140
56558.51,912,29382
66301.42,1036,33730
58239.21,955,30530
61225.9,960,24220
51727.18,909,18400
56398.61,910,5972
56376.64,1159,6605
66893.88,1343,8591
65762.02,1093,6532
60658.11,1035,6745
57501.19,879,5755
68862.71,1108,8983
64180.75,1264,8581
57249.1,878,28150
62176.12,1162,6691
63605.3,868,25850
49520.51,926,5564
62403.22,931,27125
69597.25,1064,32560
57856.71,741,17890
"59,058,111,926,236",0,
64861.88,918,24390
70885.71,1120,32560
65044.99,1040,27930
54716.68,870,5707
56230.92,1032,6623
46555.21,951,6172
51493.83,1044,19870
50623.12,1066,16685
47057.03,999,6390
56722.24,1088,7965
55831.54,1091,8098
48927.68,961,6800
58778.75,1049,10509
64491.65,1045,20242
59827.57,972,30168
63749.73,1012,10796
64246.32,1133,32830
69873.4,1398,44560
67472.37,1169,27206
48898.06,777,6246
61572.26,1005,15966
64722.83,1165,11000
66493.97,1083,38487
57782.89,1028,9696
75690.27,1187,39090
61079.24,984,31082
61890.4,1047,31508
61648.4,1033,28500
68368.11,1127,37180
59479.84,1067,10012
77995.25,1335,49140
63624.4,989,29162
